Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
04 September 2006,4662.5,4708.9,4661.5,4696.9,6658286,2216400000,13.81,1.98,1.55
05 September 2006,4703.25,4743.85,4682.4,4706.8,7428505,2557500000,13.84,1.98,1.55
06 September 2006,4709.2,4724.15,4671.85,4690.4,5635894,2189700000,13.79,1.97,1.55
07 September 2006,4683.55,4683.55,4627.95,4647.3,6006813,2217600000,13.66,1.96,1.57
08 September 2006,4652.9,4680.9,4616.15,4658.45,5491010,2111600000,13.7,1.96,1.56
11 September 2006,4658.45,4672.35,4510.65,4528.9,6150970,2536300000,13.32,1.91,1.61
12 September 2006,4526.25,4645.75,4480.2,4631.6,11326544,4405700000,13.62,1.95,1.57
13 September 2006,4637.75,4837.6,4637.75,4823.9,16902717,6042200000,14.18,2.03,1.51
14 September 2006,4853.2,4913.05,4835.1,4896.35,11427965,4132100000,14.4,2.06,1.49
15 September 2006,4883.25,4915.2,4849.95,4908.1,10755174,3286500000,14.43,2.07,1.48
18 September 2006,4905,4954.55,4898.55,4924.95,8322263,2959600000,14.48,2.07,1.48
19 September 2006,4927.6,4949,4861.25,4890.45,7379696,2796200000,14.38,2.06,1.49
20 September 2006,4878.25,4915.8,4800.65,4899.75,5667002,2251400000,14.41,2.06,1.48
21 September 2006,4925,4990.9,4925,4972.95,8795876,2783900000,14.62,2.09,1.46
22 September 2006,4956.45,4982.2,4903.95,4934.7,7243951,2217800000,14.51,2.08,1.47
25 September 2006,5078.4,5084.25,4910.85,4949.9,7429342,2947500000,14.55,2.08,1.47
26 September 2006,4957.25,5066.35,4947.8,5061.7,10531466,4110900000,14.88,2.13,1.44
27 September 2006,5035.85,5143.5,5035.85,5124.5,12627498,4994900000,15.07,2.16,1.42
28 September 2006,5123.65,5350.65,5118.75,5327.6,28573576,10139800000,15.67,2.24,1.37
29 September 2006,5519.55,5519.55,5255.95,5276.25,18049644,4834300000,15.52,2.22,1.38
03 October 2006,5277.05,5312.25,5241.45,5264.9,9420652,3051900000,15.48,2.22,1.38
04 October 2006,5265.45,5267.95,5185.95,5201.25,11264123,3580200000,15.3,2.19,1.4
05 October 2006,5215.85,5350.65,5215.85,5334.7,14390134,4995900000,15.69,2.25,1.36
06 October 2006,5326.35,5357.2,5300.2,5311.25,8261864,2713300000,15.62,2.24,1.37
09 October 2006,5290.75,5327.2,5261.75,5292.75,8493241,2460200000,15.57,2.23,1.37
10 October 2006,5292.45,5326.9,5253.5,5270.3,6067856,1932700000,15.5,2.22,1.38
11 October 2006,5271.5,5313.85,5182.1,5206.4,6619512,2534800000,15.31,2.19,1.4
12 October 2006,5208.85,5285.3,5142,5270.4,9172884,3199800000,15.5,2.22,1.38
13 October 2006,5290.85,5361.25,5290.85,5302.45,8554324,2893900000,15.56,2.23,1.37
16 October 2006,5250.6,5433.1,5250.6,5399.55,10638971,4737700000,15.84,2.27,1.35
17 October 2006,5393.4,5433.7,5353.9,5390.1,9276112,4464400000,15.75,2.27,1.35
18 October 2006,5406.5,5425.6,5374.65,5405.85,10272639,4600100000,15.65,2.28,1.35
19 October 2006,5410.15,5430.65,5300,5334.85,9842805,3140200000,15.39,2.25,1.36
20 October 2006,5341.55,5373.8,5314.4,5333.65,10347586,3002700000,15.39,2.25,1.36
21 October 2006,5380.65,5380.65,5307.5,5325.55,791880,273000000,15.36,2.24,1.37
23 October 2006,5304.6,5341.05,5240.5,5247.25,5611260,1836600000,15.14,2.21,1.39
26 October 2006,5282.8,5482.4,5265.2,5460.1,23015066,8307500000,15.55,2.3,1.33
27 October 2006,5473.4,5551.9,5464.1,5545.25,15547759,5634600000,15.71,2.33,1.31
30 October 2006,5539.9,5641.95,5479.6,5626.45,15047694,6193900000,15.77,2.37,1.29
31 October 2006,5633.7,5686.9,5543.8,5588.7,23289995,7249000000,15.63,2.35,1.3
01 November 2006,5792.8,5795.85,5570.9,5623.65,10190477,3853500000,15.73,2.37,1.29
02 November 2006,5586,5677.25,5586,5658.75,9208653,3346200000,15.83,2.38,1.28
03 November 2006,5664.05,5667,5600.55,5613.15,8006226,3009600000,15.7,2.36,1.3
06 November 2006,5604.25,5626.9,5556.05,5561.9,8077251,2517700000,15.56,2.34,1.31
07 November 2006,5575.85,5610.6,5510.95,5535.75,8139177,2918600000,15.49,2.33,1.31
08 November 2006,5529.85,5613.7,5460.5,5591,11168077,5187300000,15.64,2.35,1.3
09 November 2006,5615.5,5670.35,5599.3,5656.35,8501869,3860500000,15.82,2.38,1.29
10 November 2006,5666.25,5797.8,5648,5757.95,10369649,5750600000,16.11,2.42,1.26
